ko;pathname;genesymbol
K21593;Atrazine;triA
K21607;Cl. cyclohexane and Cl. benzene;pcpD
K21647;Cl. alkane and Cl.alkene;pceA
K21648;Cl. alkane and Cl.alkene;pceB
K21683;Nitrotoluene;dntB
K21725;Aminobenzoate;pnpA
K21726;Aminobenzoate;npcA
K21727;Aminobenzoate;npcB
K21759;Aromatic;bsdD
K21759;Aminobenzoate;bsdD
K21802;Aminobenzoate;vdh
K22270;Benzoate;nagX
K22353;Cl. alkane and Cl.alkene;etnC
K22354;Cl. alkane and Cl.alkene;etnA
K22355;Cl. alkane and Cl.alkene;etnB
K22356;Cl. alkane and Cl.alkene;etnD
K22357;Cl. alkane and Cl.alkene;amoA
K22358;Cl. alkane and Cl.alkene;amoE
K22359;Cl. alkane and Cl.alkene;amoB
K22360;Cl. alkane and Cl.alkene;amoC
K22361;Cl. alkane and Cl.alkene;amoD
K22362;Cl. alkane and Cl.alkene;amoF
K22363;Cl. alkane and Cl.alkene;etnE
K22553;Benzoate;CYP199A2
K22676;Aromatic;bphB
K22676;Dioxin;bphB
K22677;Dioxin;bphD
K22677;Aromatic;bphD
K22678;Dioxin;dhl1
K22715;Dioxin;dxnA1
K22715;Aromatic;dxnA1
K22716;Aromatic;dxnA2
K22716;Dioxin;dxnA2
K22717;Dioxin;dxnB
K22717;Aromatic;dxnB
K22958;Aminobenzoate;lpdC
K22959;Aminobenzoate;lpdB
K22960;Aminobenzoate;lpdD
K23351;Benzoate;gcdC
K23352;Benzoate;gcdD
K23359;Atrazine;biuH
K23526;Aminobenzoate;gcoA
K23527;Aminobenzoate;gcoB
K23528;Aminobenzoate;pnpB
K23529;Cl. cyclohexane and Cl. benzene;E1.6.5.7
K23529;Aminobenzoate;E1.6.5.7
K23548;Nitrotoluene;hupU
K23549;Nitrotoluene;hupV
K23790;Cytochrome P450;GSTP
K24244;Aminobenzoate;ligXc
K24245;Aminobenzoate;ligXd
K24293;Cl. cyclohexane and Cl. benzene;tcpA
K25916;Aminobenzoate;mtvB
